"header"	"created"	"author"	"topic"	"path"	"source"
"«МНЕ КАЖЕТСЯ ПОРОЮ, ЧТО СОЛДАТЫ…»"	"16.09.2013"	"Noname"	"Наши земляки"	"2013/September/0.txt"	"http://desnyanka.ru/nashi_zemlyaki/1157-MNEKAZHETSYAPOROYUCHTOSOLDATI.html"
"ПОДВИГ НАРОДА"	"9.07.2014"	"Noname"	"Информация"	"2014/July/1.txt"	"http://desnyanka.ru/informaciya/1941-podvig-naroda.html"
"«С ЮБИЛЕЕМ, «ПИОНЕРСКАЯ ПРАВДА»!  — 90 ЛЕТ ГАЗЕТЕ!»"	"5.02.2015"	"Noname"	"Информация"	"2015/February/2.txt"	"http://desnyanka.ru/informaciya/2597-s-yubileem-pionerskaya-pravda-90-let-gazete.html"
"СЛУЖБА ПО КОНТРАКТУ"	"6.02.2015"	"Noname"	"Информация"	"2015/February/3.txt"	"http://desnyanka.ru/informaciya/2613-sluzhba-po-kontraktu.html"
"И ЭТО ВСЕ О НЕЙ!"	"5.10.2011"	"Noname"	"Профессиональный праздник"	"2011/October/4.txt"	"http://desnyanka.ru/prof_prazdnik/379-IETOVSEONEY.html"
"РЕМОНТ  МНОГОКВАРТИРНЫХ  ДОМОВ: РЕШАЮТ САМИ ЖИЛЬЦЫ"	"15.03.2014"	"Noname"	"Профессиональный праздник"	"2014/March/5.txt"	"http://desnyanka.ru/prof_prazdnik/1608-remontmnogokvartirnihdomovreshayutsamizhiltsi.html"
"«ПРАВОСЛАВИЕ БРЯНСКОГО РАЙОНА»"	"6.08.2014"	"Noname"	"Район: день за днем"	"2014/August/6.txt"	"http://desnyanka.ru/rayon_den_za_dnem/2032-pravoslavie-bryanskogo-rajona.html"
"НАСТОЯЩИЙ ПРАЗДНИК"	"24.09.2014"	"Карина Прошкина"	"Здоровье"	"2014/September/7.txt"	"http://desnyanka.ru/zdorov/2188-nastoyashhij-prazdnik.html"
"ПРИМИТЕ ИСКРЕННИЕ ПОЗДРАВЛЕНИЯ !"	"3.10.2014"	"Noname"	"Письмо в газету"	"2014/October/8.txt"	"http://desnyanka.ru/pismo_v_gaztu/2216-primite-iskrennie-pozdravleniy.html"
"ГЛАВА АДМИНИСТРАЦИИ БРЯНСКОГО РАЙОНА ДОСРОЧНО УШЕЛ В ОТСТАВКУ"	"19.12.2014"	"Виктор СТЕПАНОВ.  "	"Район: день за днем"	"2014/December/9.txt"	"http://desnyanka.ru/rayon_den_za_dnem/2455-glava-administraczii-bryanskogo-rajona-dosrochno-ushel-v-otstavku.html"
