Название статьи	Дата публикации	Автор статьи	Рубрика	Путь к файлу	Название статьи (lemma)
«МНЕ КАЖЕТСЯ ПОРОЮ, ЧТО СОЛДАТЫ…»	Сентябрь 16th, 2013 03:23 ПП	-	Наши земляки	2013/September/0.txt	«я казаться пора, что солдат…»
ПОДВИГ НАРОДА	Июль 9th, 2014 03:45 ПП	-	Информация	2014/July/1.txt	подвиг народ
«С ЮБИЛЕЕМ, «ПИОНЕРСКАЯ ПРАВДА»!  — 90 ЛЕТ ГАЗЕТЕ!»	Февраль 5th, 2015 12:56 ПП	-	Информация	2015/February/2.txt	«с юбилей, «пионерский правда»!  — 90 год газета!»
СЛУЖБА ПО КОНТРАКТУ	Февраль 6th, 2015 11:36 ДП	-	Информация	2015/February/3.txt	служба по контракт
РЕМОНТ  МНОГОКВАРТИРНЫХ  ДОМОВ: РЕШАЮТ САМИ ЖИЛЬЦЫ	Март 15th, 2014 10:21 ДП	-	Профессиональный праздник	2014/March/4.txt	ремонт  многоквартирный  дом: решать сам жилец
«ПРАВОСЛАВИЕ БРЯНСКОГО РАЙОНА»	Август 6th, 2014 09:11 ДП	Владислава Суворова.	Район: день за днем	2014/August/5.txt	«православие брянский район»
НАСТОЯЩИЙ ПРАЗДНИК	Сентябрь 24th, 2014 03:30 ПП	Карина Прошкина.	Здоровье	2014/September/6.txt	настоящий праздник
ПРИМИТЕ ИСКРЕННИЕ ПОЗДРАВЛЕНИЯ !	Октябрь 3rd, 2014 10:02 ДП	Родительский комитет	Письмо в газету	2014/October/7.txt	принимать искренний поздравление !
ГЛАВА АДМИНИСТРАЦИИ БРЯНСКОГО РАЙОНА ДОСРОЧНО УШЕЛ В ОТСТАВКУ	Декабрь 19th, 2014 02:31 ПП	Виктор СТЕПАНОВ.   	Район: день за днем	2014/December/8.txt	глава администрация брянский район досрочно уходить в отставка
ВЫСТОЯЛИ И ПОБЕДИЛИ!	Февраль 25th, 2015 09:54 ДП	-	«Творцы Победы»	2015/February/9.txt	выстаивать и побеждать!
АЛЕКСАНДР БОГОМАЗ: «ПАТРИОТИЧЕСКОЕ  ВОСПИТАНИЕ МОЛОДЕЖИ — ПРИОРИТЕТ ГОСУДАРСТВЕННОЙ ПОЛИТИКИ»	Февраль 5th, 2016 09:01 ДП	-	Народ и власть	2016/February/10.txt	александр богомаз: «патриотический  воспитание молодежь — приоритет государственный политика»
ВЕРНУТЬ ЗЕМЛИ В СЕЛЬХОЗОБОРОТ	Февраль 5th, 2016 09:00 ДП	-	В администрации района	2016/February/11.txt	вернуть земля в сельхозоборот
ТРУДОМ КРАСИВ И СЛАВЕН ЧЕЛОВЕК	Февраль 5th, 2016 09:00 ДП	-	Судьбы людские	2016/February/12.txt	труд красивый и славный человек
«ЛЫЖНЯ РОССИИ — 2016»	Февраль 5th, 2016 08:59 ДП	-	Спорт	2016/February/13.txt	«лыжня россия — 2016»
ИНДЕКСАЦИЯ СТРАХОВОЙ ПЕНСИИ С 1 ФЕВРАЛЯ КОСНЕТСЯ ТОЛЬКО  НЕРАБОТАЮЩИХ ПЕНСИОНЕРОВ	Февраль 5th, 2016 08:58 ДП	-	Информация	2016/February/14.txt	индексация страховой пенсия с 1 февраль касаться только  неработающий пенсионер
РАЗГОВОР ОБ ИНДЕКСАЦИИ	Февраль 5th, 2016 08:58 ДП	-	Службы информируют	2016/February/15.txt	разговор об индексация
О РАЙОННОМ СМОТРЕ-КОНКУРСЕ	Февраль 5th, 2016 08:56 ДП	-	Информация	2016/February/16.txt	о районный смотр-конкурс
ОТ ГОДА ЛИТЕРАТУРЫ К ГОДУ КИНО	Февраль 5th, 2016 08:55 ДП	-	Разное	2016/February/17.txt	от год литература к год кино
ЭТУ ДОРОГУ ЖДУТ…	Февраль 3rd, 2016 09:07 ДП	-	Район: день за днем	2016/February/18.txt	этот дорога ждать…
ЛИСТАЯ СТРАНИЦЫ…	Февраль 3rd, 2016 09:06 ДП	-	Это интересно	2016/February/19.txt	листать страница…
ТО ОТТЕПЕЛЬ, ТО СНЕГОПАД	Январь 29th, 2016 12:13 ПП	-	Район: день за днем	2016/January/20.txt	то оттепель, то снегопад
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Январь 29th, 2016 12:12 ПП	-	Народ и власть	2016/January/21.txt	в правительство область
С РАСШИРЕННОГО СОВЕЩАНИЯ	Январь 29th, 2016 12:11 ПП	-	В администрации района	2016/January/22.txt	с расширенный совещание
ИНФОРМКУРЬЕР	Январь 29th, 2016 12:10 ПП	-	Район: день за днем	2016/January/23.txt	информкурьер
ВЫПЛАТЫ ДЛЯ БЫВШИХ ВОЕННОПЛЕННЫХ	Январь 29th, 2016 12:09 ПП	-	Службы информируют	2016/January/24.txt	выплата для бывший военнопленный
ВЕРИТЬ В СВОЮ СТРАНУ	Январь 29th, 2016 12:09 ПП	-	Наши земляки	2016/January/25.txt	верить в свой страна
ПРИЗЁР ВО ВСЕРОССИЙСКОМ КОНКУРСЕ	Январь 29th, 2016 12:08 ПП	-	Разное	2016/January/26.txt	призер во всероссийский конкурс
2015: ПОЛИЦЕЙСКИЕ ИТОГИ	Январь 29th, 2016 12:08 ПП	-	Службы информируют	2016/January/27.txt	2015: полицейский итог
