"Название статьи"	"Дата публикации"	"Автор статьи"	"Рубрика"	"Путь к файлу"
"«МНЕ КАЖЕТСЯ ПОРОЮ, ЧТО СОЛДАТЫ…»"	"Сентябрь 16th, 2013 03:23 ПП"	"-"	"Наши земляки"	"2013/September/0.txt"
"ПОДВИГ НАРОДА"	"Июль 9th, 2014 03:45 ПП"	"-"	"Информация"	"2014/July/1.txt"
"«С ЮБИЛЕЕМ, «ПИОНЕРСКАЯ ПРАВДА»!  — 90 ЛЕТ ГАЗЕТЕ!»"	"Февраль 5th, 2015 12:56 ПП"	"-"	"Информация"	"2015/February/2.txt"
"СЛУЖБА ПО КОНТРАКТУ"	"Февраль 6th, 2015 11:36 ДП"	"-"	"Информация"	"2015/February/3.txt"
"РЕМОНТ  МНОГОКВАРТИРНЫХ  ДОМОВ: РЕШАЮТ САМИ ЖИЛЬЦЫ"	"Март 15th, 2014 10:21 ДП"	"-"	"Профессиональный праздник"	"2014/March/4.txt"
"«ПРАВОСЛАВИЕ БРЯНСКОГО РАЙОНА»"	"Август 6th, 2014 09:11 ДП"	"Владислава Суворова."	"Район: день за днем"	"2014/August/5.txt"
"НАСТОЯЩИЙ ПРАЗДНИК"	"Сентябрь 24th, 2014 03:30 ПП"	"Карина Прошкина."	"Здоровье"	"2014/September/6.txt"
"ПРИМИТЕ ИСКРЕННИЕ ПОЗДРАВЛЕНИЯ !"	"Октябрь 3rd, 2014 10:02 ДП"	"Родительский комитет"	"Письмо в газету"	"2014/October/7.txt"
"ГЛАВА АДМИНИСТРАЦИИ БРЯНСКОГО РАЙОНА ДОСРОЧНО УШЕЛ В ОТСТАВКУ"	"Декабрь 19th, 2014 02:31 ПП"	"Виктор СТЕПАНОВ.   "	"Район: день за днем"	"2014/December/8.txt"
"ВЫСТОЯЛИ И ПОБЕДИЛИ!"	"Февраль 25th, 2015 09:54 ДП"	"-"	"«Творцы Победы»"	"2015/February/9.txt"
"АЛЕКСАНДР БОГОМАЗ: «ПАТРИОТИЧЕСКОЕ  ВОСПИТАНИЕ МОЛОДЕЖИ — ПРИОРИТЕТ ГОСУДАРСТВЕННОЙ ПОЛИТИКИ»"	"Февраль 5th, 2016 09:01 ДП"	"-"	"Народ и власть"	"2016/February/10.txt"
"ВЕРНУТЬ ЗЕМЛИ В СЕЛЬХОЗОБОРОТ"	"Февраль 5th, 2016 09:00 ДП"	"-"	"В администрации района"	"2016/February/11.txt"
"ТРУДОМ КРАСИВ И СЛАВЕН ЧЕЛОВЕК"	"Февраль 5th, 2016 09:00 ДП"	"-"	"Судьбы людские"	"2016/February/12.txt"
"«ЛЫЖНЯ РОССИИ — 2016»"	"Февраль 5th, 2016 08:59 ДП"	"-"	"Спорт"	"2016/February/13.txt"
"ИНДЕКСАЦИЯ СТРАХОВОЙ ПЕНСИИ С 1 ФЕВРАЛЯ КОСНЕТСЯ ТОЛЬКО  НЕРАБОТАЮЩИХ ПЕНСИОНЕРОВ"	"Февраль 5th, 2016 08:58 ДП"	"-"	"Информация"	"2016/February/14.txt"
"РАЗГОВОР ОБ ИНДЕКСАЦИИ"	"Февраль 5th, 2016 08:58 ДП"	"-"	"Службы информируют"	"2016/February/15.txt"
"О РАЙОННОМ СМОТРЕ-КОНКУРСЕ"	"Февраль 5th, 2016 08:56 ДП"	"-"	"Информация"	"2016/February/16.txt"
"ОТ ГОДА ЛИТЕРАТУРЫ К ГОДУ КИНО"	"Февраль 5th, 2016 08:55 ДП"	"-"	"Разное"	"2016/February/17.txt"
"ЭТУ ДОРОГУ ЖДУТ…"	"Февраль 3rd, 2016 09:07 ДП"	"-"	"Район: день за днем"	"2016/February/18.txt"
"ЛИСТАЯ СТРАНИЦЫ…"	"Февраль 3rd, 2016 09:06 ДП"	"-"	"Это интересно"	"2016/February/19.txt"
"ТО ОТТЕПЕЛЬ, ТО СНЕГОПАД"	"Январь 29th, 2016 12:13 ПП"	"-"	"Район: день за днем"	"2016/January/20.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Январь 29th, 2016 12:12 ПП"	"-"	"Народ и власть"	"2016/January/21.txt"
"С РАСШИРЕННОГО СОВЕЩАНИЯ"	"Январь 29th, 2016 12:11 ПП"	"-"	"В администрации района"	"2016/January/22.txt"
"ИНФОРМКУРЬЕР"	"Январь 29th, 2016 12:10 ПП"	"-"	"Район: день за днем"	"2016/January/23.txt"
"ВЫПЛАТЫ ДЛЯ БЫВШИХ ВОЕННОПЛЕННЫХ"	"Январь 29th, 2016 12:09 ПП"	"-"	"Службы информируют"	"2016/January/24.txt"
"ВЕРИТЬ В СВОЮ СТРАНУ"	"Январь 29th, 2016 12:09 ПП"	"-"	"Наши земляки"	"2016/January/25.txt"
"ПРИЗЁР ВО ВСЕРОССИЙСКОМ КОНКУРСЕ"	"Январь 29th, 2016 12:08 ПП"	"-"	"Разное"	"2016/January/26.txt"
"2015: ПОЛИЦЕЙСКИЕ ИТОГИ"	"Январь 29th, 2016 12:08 ПП"	"-"	"Службы информируют"	"2016/January/27.txt"
"ЛЫЖНЫЙ СЕЗОН В РАЗГАРЕ"	"Январь 29th, 2016 12:07 ПП"	"-"	"Спорт"	"2016/January/28.txt"
"НИЗКИЙ ВАМ ПОКЛОН, ЛЮДИ ДОБРЫЕ"	"Январь 29th, 2016 12:05 ПП"	"-"	"Разное"	"2016/January/29.txt"
"ГЕНЕТИЧЕСКИЕ ДАННЫЕ В ЭЛЕКТРОННОЙ БАЗЕ"	"Февраль 3rd, 2016 09:05 ДП"	"-"	"Район: день за днем"	"2016/February/30.txt"
"МОЯ СЕМЕЙНАЯ РЕЛИКВИЯ"	"Февраль 3rd, 2016 09:04 ДП"	"-"	"Это интересно"	"2016/February/31.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Февраль 3rd, 2016 09:01 ДП"	"-"	"Народ и власть"	"2016/February/32.txt"
"ЗЕМЕЛЬНЫЕ УЧАСТКИ — МНОГОДЕТНЫМ СЕМЬЯМ"	"Февраль 3rd, 2016 09:00 ДП"	"-"	"В администрации района"	"2016/February/33.txt"
"ИНФОРМКУРЬЕР"	"Февраль 3rd, 2016 09:00 ДП"	"-"	"Район: день за днем"	"2016/February/34.txt"
"СЛОВО ДЕПУТАТУ"	"Февраль 3rd, 2016 08:59 ДП"	"-"	"Народ и власть"	"2016/February/35.txt"
"АКЦЕНТ — НА ВОЛОНТЕРСКУЮ РАБОТУ"	"Февраль 3rd, 2016 08:58 ДП"	"-"	"В администрации района"	"2016/February/36.txt"
"СЛОВА БЛАГОДАРНОСТИ"	"Февраль 3rd, 2016 08:57 ДП"	"-"	"Разное"	"2016/February/37.txt"
"ФОТООТЧЕТ с районного мероприятия, посвященного ДНЮ МАТЕРИ"	"Ноябрь 27th, 2015 10:02 ДП"	"-"	"Разное"	"2015/November/38.txt"
"ЧЕСТВОВАЛИ МАТЕРЕЙ"	"Ноябрь 27th, 2015 09:23 ДП"	"-"	"Наши земляки"	"2015/November/39.txt"
"СПОРТЗАЛ ОТРЕМОНТИРОВАН"	"Ноябрь 27th, 2015 09:22 ДП"	"-"	"Район: день за днем"	"2015/November/40.txt"
"КОНКУРС ПО ПРЕДОСТАВЛЕНИЮ ГРАНТОВ"	"Ноябрь 27th, 2015 09:21 ДП"	"-"	"Службы информируют"	"2015/November/41.txt"
"ЛЮБИТЬ МИР ВОКРУГ СЕБЯ"	"Ноябрь 27th, 2015 09:20 ДП"	"-"	"Это интересно"	"2015/November/42.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Ноябрь 27th, 2015 09:20 ДП"	"-"	"Народ и власть"	"2015/November/43.txt"
"ВСЕРОССИЙСКАЯ ДЕКАДА ПОДПИСКИ"	"Ноябрь 25th, 2015 12:17 ПП"	"-"	"Информация"	"2015/November/44.txt"
"НАГРАДА ОТЦА ВРУЧЕНА СЫНУ"	"Ноябрь 25th, 2015 11:50 ДП"	"-"	"К 70-летию Великой Победы"	"2015/November/45.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Ноябрь 25th, 2015 11:49 ДП"	"-"	"Народ и власть"	"2015/November/46.txt"
"ИНФОРМКУРЬЕР"	"Ноябрь 25th, 2015 11:48 ДП"	"-"	"Район: день за днем"	"2015/November/47.txt"
"Антинаркотический месячник «Брянщина — жизнь без наркотиков!»"	"Сентябрь 30th, 2015 01:04 ПП"	"-"	"Информация"	"2015/September/48.txt"
"ДЕНЬ ПОЖИЛЫХ ЛЮДЕЙ"	"Сентябрь 30th, 2015 10:15 ДП"	"-"	"Разное"	"2015/September/49.txt"
"АЛЕКСАНДР БОГОМАЗ ВСТУПИЛ В ДОЛЖНОСТЬ ГУБЕРНАТОРА БРЯНСКОЙ ОБЛАСТИ"	"Сентябрь 30th, 2015 10:10 ДП"	"-"	"Народ и власть"	"2015/September/50.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Сентябрь 30th, 2015 10:09 ДП"	"-"	"Народ и власть"	"2015/September/51.txt"
